message_id,label,date,word_count,unique_word_count,avg_word_length,lexical_diversity,hapax_legomena_ratio
0,ham,1999-12-10,4,4,6.25,1.0,1.0
1,ham,1999-12-13,435,187,3.6528735632183906,0.4298850574712644,0.26436781609195403
2,ham,1999-12-14,10,6,5.4,0.6,0.2
3,ham,1999-12-14,177,79,3.76271186440678,0.4463276836158192,0.2655367231638418
4,ham,1999-12-14,170,86,3.9823529411764707,0.5058823529411764,0.2823529411764706
5,ham,1999-12-14,103,66,4.009708737864078,0.6407766990291263,0.42718446601941745
6,ham,1999-12-14,78,49,4.128205128205129,0.6282051282051282,0.41025641025641024
7,ham,1999-12-14,207,133,4.429951690821256,0.642512077294686,0.5314009661835749
8,ham,1999-12-14,293,127,4.303754266211604,0.4334470989761092,0.2525597269624573
9,ham,1999-12-14,516,255,4.439922480620155,0.4941860465116279,0.3372093023255814
10,ham,1999-12-14,287,157,4.801393728222997,0.5470383275261324,0.3623693379790941
11,ham,1999-12-15,169,118,4.017751479289941,0.6982248520710059,0.4911242603550296
12,ham,1999-12-15,118,77,3.5847457627118646,0.652542372881356,0.4067796610169492
13,ham,1999-12-15,109,79,4.155963302752293,0.7247706422018348,0.5321100917431193
14,ham,1999-12-15,60,45,3.9,0.75,0.5666666666666667
15,ham,1999-12-15,141,84,3.780141843971631,0.5957446808510638,0.3829787234042553
16,ham,1999-12-15,88,66,3.8863636363636362,0.75,0.6818181818181818
17,ham,1999-12-16,117,78,3.9572649572649574,0.6666666666666666,0.49572649572649574
18,ham,1999-12-16,142,71,3.936619718309859,0.5,0.28169014084507044
19,ham,1999-12-16,53,45,4.037735849056604,0.8490566037735849,0.7547169811320755
20,ham,1999-12-16,37,29,3.5135135135135136,0.7837837837837838,0.6486486486486487
21,ham,1999-12-17,219,126,4.159817351598173,0.5753424657534246,0.410958904109589
22,ham,1999-12-17,61,46,4.278688524590164,0.7540983606557377,0.5737704918032787
23,ham,1999-12-17,280,150,4.303571428571429,0.5357142857142857,0.32142857142857145
24,ham,1999-12-20,360,151,3.841666666666667,0.41944444444444445,0.21944444444444444
25,ham,1999-12-20,96,70,4.260416666666667,0.7291666666666666,0.5625
26,ham,1999-12-20,707,236,3.9717114568599716,0.3338048090523338,0.18246110325318246
27,ham,1999-12-20,200,109,4.18,0.545,0.375
28,ham,1999-12-20,142,97,4.366197183098592,0.6830985915492958,0.5492957746478874
29,ham,1999-12-20,74,59,4.594594594594595,0.7972972972972973,0.6351351351351351
30,ham,1999-12-20,186,118,4.344086021505376,0.6344086021505376,0.43548387096774194
31,ham,1999-12-20,75,57,4.0,0.76,0.5466666666666666
32,ham,1999-12-21,71,56,4.661971830985915,0.7887323943661971,0.676056338028169
33,ham,1999-12-21,133,92,3.43609022556391,0.6917293233082706,0.5112781954887218
34,ham,1999-12-21,79,57,3.6835443037974684,0.7215189873417721,0.5443037974683544
35,ham,1999-12-21,259,117,3.806949806949807,0.4517374517374517,0.2625482625482625
36,ham,1999-12-21,174,97,3.4597701149425286,0.5574712643678161,0.3275862068965517
37,ham,1999-12-21,80,39,4.025,0.4875,0.275
