email_id,label,word_count,sentence_count,avg_sentence_length,flesch_kincaid_grade,lexical_diversity
email_1,ai_phish,149,9,16.555555555555557,15.15646258503401,0.5771812080536913
email_10,ai_phish,146,9,16.22222222222222,15.868968253968259,0.5821917808219178
email_100,ai_phish,97,6,16.166666666666668,11.358297872340426,0.7319587628865979
email_101,ai_phish,93,7,13.285714285714286,13.024285714285714,0.7096774193548387
email_102,ai_phish,76,6,12.666666666666666,14.209794520547948,0.7631578947368421
email_103,ai_phish,83,6,13.833333333333334,12.177500000000002,0.7590361445783133
email_104,ai_phish,85,6,14.166666666666666,15.4225,0.7058823529411765
email_105,ai_phish,89,6,14.833333333333334,11.4046511627907,0.7528089887640449
email_106,ai_phish,84,6,14.0,12.255246913580251,0.7023809523809523
email_107,ai_phish,79,6,13.166666666666666,13.571052631578947,0.7468354430379747
email_108,ai_phish,80,6,13.333333333333334,14.24097402597403,0.75
email_109,ai_phish,85,6,14.166666666666666,15.354634146341464,0.6941176470588235
email_11,ai_phish,153,10,15.3,15.605687086092718,0.6078431372549019
email_110,ai_phish,95,7,13.571428571428571,10.185714285714287,0.7263157894736842
email_111,ai_phish,99,7,14.142857142857142,13.604404761904764,0.696969696969697
email_112,ai_phish,86,6,14.333333333333334,13.68933734939759,0.7325581395348837
email_113,ai_phish,84,6,14.0,12.837962962962965,0.7738095238095238
email_114,ai_phish,84,6,14.0,15.684240506329115,0.7142857142857143
email_115,ai_phish,97,7,13.857142857142858,10.987568389057753,0.7319587628865979
email_116,ai_phish,101,6,16.833333333333332,13.898367346938777,0.7029702970297029
email_117,ai_phish,83,6,13.833333333333334,14.2425,0.6987951807228916
email_118,ai_phish,81,6,13.5,14.138974358974362,0.7654320987654321
email_119,ai_phish,86,6,14.333333333333334,14.54234939759036,0.7093023255813954
email_12,ai_phish,149,10,14.9,16.300059523809526,0.5973154362416108
email_120,ai_phish,78,6,13.0,11.940999999999999,0.7435897435897436
email_121,ai_phish,85,6,14.166666666666666,12.764390243902437,0.7176470588235294
email_122,ai_phish,80,6,13.333333333333334,13.627987012987017,0.725
email_123,ai_phish,76,6,12.666666666666666,12.593356164383565,0.75
email_124,ai_phish,75,6,12.5,13.837222222222223,0.6933333333333334
email_125,ai_phish,85,6,14.166666666666666,11.181463414634148,0.7411764705882353
email_126,ai_phish,81,6,13.5,14.138974358974362,0.7037037037037037
email_127,ai_phish,79,6,13.166666666666666,13.41578947368421,0.7341772151898734
email_128,ai_phish,75,6,12.5,13.673333333333336,0.7333333333333333
email_129,ai_phish,77,6,12.833333333333334,13.617297297297302,0.7012987012987013
email_13,ai_phish,154,9,17.11111111111111,15.391729323308272,0.564935064935065
email_130,ai_phish,101,6,16.833333333333332,13.777959183673474,0.7029702970297029
email_131,ai_phish,83,6,13.833333333333334,14.2425,0.6987951807228916
email_132,ai_phish,81,6,13.5,13.98769230769231,0.7654320987654321
email_133,ai_phish,86,6,14.333333333333334,14.54234939759036,0.7093023255813954
email_134,ai_phish,82,6,13.666666666666666,11.352594936708865,0.6951219512195121
email_135,ai_phish,79,6,13.166666666666666,12.173684210526314,0.7088607594936709
email_136,ai_phish,77,6,12.833333333333334,14.095675675675675,0.7142857142857143
email_137,ai_phish,81,6,13.5,13.533846153846156,0.7654320987654321
email_138,ai_phish,85,6,14.166666666666666,14.491219512195126,0.7176470588235294
email_139,ai_phish,85,6,14.166666666666666,12.332682926829268,0.7176470588235294
email_14,ai_phish,158,10,15.8,15.3124358974359,0.5506329113924051
email_140,ai_phish,82,6,13.666666666666666,12.398164556962026,0.7195121951219512
email_141,ai_phish,75,6,12.5,14.001111111111111,0.7066666666666667
email_142,ai_phish,80,6,13.333333333333334,14.087727272727275,0.7625
email_143,ai_phish,89,6,14.833333333333334,13.325581395348838,0.7078651685393258
email_145,ai_phish,80,6,13.333333333333334,13.474740259740262,0.7375
email_146,ai_phish,78,6,13.0,14.143666666666665,0.717948717948718
email_147,ai_phish,81,6,13.5,12.626153846153848,0.7407407407407407
email_148,ai_phish,82,6,13.666666666666666,13.294367088607597,0.7073170731707317
email_149,ai_phish,78,6,13.0,11.783666666666669,0.7564102564102564
email_15,ai_phish,141,9,15.666666666666666,16.34853031860226,0.5957446808510638
email_150,ai_phish,86,6,14.333333333333334,13.831506024096388,0.6744186046511628
email_151,ai_phish,79,6,13.166666666666666,12.484210526315788,0.7215189873417721
email_152,ai_phish,84,6,14.0,13.712037037037042,0.7023809523809523
email_153,ai_phish,86,6,14.333333333333334,14.40018072289157,0.7093023255813954
email_155,ai_phish,81,6,13.5,13.533846153846156,0.7037037037037037
email_156,ai_phish,77,6,12.833333333333334,13.617297297297302,0.7142857142857143
email_157,ai_phish,75,6,12.5,13.345555555555556,0.72
email_158,ai_phish,79,6,13.166666666666666,14.036842105263158,0.7088607594936709
email_159,ai_phish,80,6,13.333333333333334,12.095519480519481,0.7375
email_16,ai_phish,143,10,14.3,15.469565602836884,0.5944055944055944
email_160,ai_phish,80,6,13.333333333333334,12.86175324675325,0.7375
