email_id,label,word_count,char_count,subject_len,url_count,has_url,has_obfuscation,urgency_token_hits,urgency_phrase_hits,urgency_score,urgency_rate_per_100w,fear_loss_token_hits,fear_loss_phrase_hits,fear_loss_score,fear_loss_rate_per_100w,authority_token_hits,authority_phrase_hits,authority_score,authority_rate_per_100w,action_demand_token_hits,action_demand_phrase_hits,action_demand_score,action_demand_rate_per_100w,account_focus_token_hits,account_focus_phrase_hits,account_focus_score,account_focus_rate_per_100w,reward_gain_token_hits,reward_gain_phrase_hits,reward_gain_score,reward_gain_rate_per_100w
email_1,ai_phish,149,956,52,1,1,0,8,3,14,9.395973154362416,4,1,6,4.026845637583893,4,4,12,8.053691275167786,9,2,13,8.724832214765101,10,2,14,9.395973154362416,0,0,0,0.0
email_10,ai_phish,146,942,56,1,1,0,5,1,7,4.794520547945205,10,1,12,8.219178082191782,3,1,5,3.4246575342465753,7,3,13,8.904109589041095,12,3,18,12.32876712328767,0,0,0,0.0
email_100,ai_phish,97,605,0,1,1,0,4,1,6,6.185567010309279,4,0,4,4.123711340206185,4,1,6,6.185567010309279,3,2,7,7.216494845360825,6,0,6,6.185567010309279,0,0,0,0.0
email_101,ai_phish,93,620,0,1,1,0,3,1,5,5.376344086021505,6,0,6,6.451612903225806,0,0,0,0.0,4,1,6,6.451612903225806,6,1,8,8.602150537634408,0,0,0,0.0
email_102,ai_phish,76,560,0,1,1,0,1,0,1,1.3157894736842106,1,0,1,1.3157894736842106,0,0,0,0.0,4,2,8,10.526315789473685,9,2,13,17.105263157894736,0,0,0,0.0
email_103,ai_phish,83,554,0,1,1,0,2,1,4,4.819277108433735,1,0,1,1.2048192771084338,2,0,2,2.4096385542168677,5,1,7,8.433734939759036,6,0,6,7.228915662650603,0,0,0,0.0
email_104,ai_phish,85,600,0,1,1,0,2,0,2,2.3529411764705883,0,0,0,0.0,1,0,1,1.1764705882352942,3,0,3,3.5294117647058822,6,0,6,7.0588235294117645,0,0,0,0.0
email_105,ai_phish,89,583,0,1,1,0,4,1,6,6.741573033707865,3,0,3,3.3707865168539324,4,2,8,8.98876404494382,4,0,4,4.49438202247191,6,0,6,6.741573033707865,0,0,0,0.0
email_106,ai_phish,84,555,0,1,1,0,1,0,1,1.1904761904761905,3,0,3,3.5714285714285716,2,0,2,2.380952380952381,4,0,4,4.761904761904762,7,1,9,10.714285714285714,0,0,0,0.0
email_107,ai_phish,79,559,0,1,1,0,1,0,1,1.2658227848101267,3,0,3,3.7974683544303796,0,0,0,0.0,5,2,9,11.39240506329114,9,2,13,16.455696202531644,0,0,0,0.0
email_108,ai_phish,80,562,0,1,1,0,4,1,6,7.5,1,0,1,1.25,2,0,2,2.5,5,1,7,8.75,6,1,8,10.0,0,0,0,0.0
email_109,ai_phish,85,598,0,1,1,0,0,0,0,0.0,0,0,0,0.0,1,0,1,1.1764705882352942,5,0,5,5.882352941176471,6,0,6,7.0588235294117645,0,0,0,0.0
email_11,ai_phish,153,1015,54,1,1,0,10,2,14,9.15032679738562,3,1,5,3.2679738562091503,2,0,2,1.3071895424836601,5,0,5,3.2679738562091503,6,0,6,3.9215686274509802,0,0,0,0.0
email_110,ai_phish,95,604,0,1,1,0,3,1,5,5.2631578947368425,4,0,4,4.2105263157894735,4,2,8,8.421052631578947,3,2,7,7.368421052631579,6,0,6,6.315789473684211,0,0,0,0.0
email_111,ai_phish,99,660,0,1,1,0,3,1,5,5.05050505050505,8,1,10,10.1010101010101,0,0,0,0.0,6,1,8,8.080808080808081,6,0,6,6.0606060606060606,0,0,0,0.0
email_112,ai_phish,86,612,0,1,1,0,1,0,1,1.1627906976744187,3,0,3,3.488372093023256,1,0,1,1.1627906976744187,4,0,4,4.651162790697675,9,1,11,12.790697674418604,0,0,0,0.0
email_113,ai_phish,84,572,0,1,1,0,1,0,1,1.1904761904761905,1,0,1,1.1904761904761905,2,0,2,2.380952380952381,4,1,6,7.142857142857143,7,1,9,10.714285714285714,0,0,0,0.0
email_114,ai_phish,84,593,0,1,1,0,1,0,1,1.1904761904761905,0,0,0,0.0,2,0,2,2.380952380952381,5,0,5,5.9523809523809526,6,0,6,7.142857142857143,0,0,0,0.0
email_115,ai_phish,97,625,0,1,1,0,4,2,8,8.24742268041237,4,0,4,4.123711340206185,4,2,8,8.24742268041237,4,2,8,8.24742268041237,6,0,6,6.185567010309279,0,0,0,0.0
email_116,ai_phish,101,662,0,1,1,0,2,1,4,3.9603960396039604,8,0,8,7.920792079207921,0,0,0,0.0,5,0,5,4.9504950495049505,6,0,6,5.9405940594059405,0,0,0,0.0
email_117,ai_phish,83,598,0,1,1,0,2,0,2,2.4096385542168677,2,0,2,2.4096385542168677,0,0,0,0.0,3,0,3,3.6144578313253013,9,2,13,15.662650602409638,0,0,0,0.0
email_118,ai_phish,81,556,0,1,1,0,4,1,6,7.407407407407407,1,0,1,1.2345679012345678,2,0,2,2.4691358024691357,5,1,7,8.641975308641975,6,1,8,9.876543209876543,0,0,0,0.0
