email_id,label,topic_id
email_1,ai_phish,6
email_10,ai_phish,6
email_100,ai_phish,6
email_101,ai_phish,6
email_102,ai_phish,7
email_103,ai_phish,1
email_104,ai_phish,2
email_105,ai_phish,6
email_106,ai_phish,6
email_107,ai_phish,7
email_108,ai_phish,1
email_109,ai_phish,2
email_11,ai_phish,6
email_110,ai_phish,6
email_111,ai_phish,6
email_112,ai_phish,7
email_113,ai_phish,1
email_114,ai_phish,2
email_115,ai_phish,6
email_116,ai_phish,6
email_117,ai_phish,7
email_118,ai_phish,1
email_119,ai_phish,2
email_12,ai_phish,6
email_120,ai_phish,6
email_121,ai_phish,6
email_122,ai_phish,7
email_123,ai_phish,1
email_124,ai_phish,2
email_125,ai_phish,6
email_126,ai_phish,6
email_127,ai_phish,7
email_128,ai_phish,1
email_129,ai_phish,2
email_13,ai_phish,6
email_130,ai_phish,6
email_131,ai_phish,7
email_132,ai_phish,1
email_133,ai_phish,2
email_134,ai_phish,6
email_135,ai_phish,6
email_136,ai_phish,7
email_137,ai_phish,1
email_138,ai_phish,2
email_139,ai_phish,6
email_14,ai_phish,6
email_140,ai_phish,6
email_141,ai_phish,7
email_142,ai_phish,1
email_143,ai_phish,2
email_145,ai_phish,6
email_146,ai_phish,7
email_147,ai_phish,1
email_148,ai_phish,2
email_149,ai_phish,6
email_15,ai_phish,6
email_150,ai_phish,6
email_151,ai_phish,7
email_152,ai_phish,1
email_153,ai_phish,2
email_155,ai_phish,6
email_156,ai_phish,7
email_157,ai_phish,1
email_158,ai_phish,2
email_159,ai_phish,6
email_16,ai_phish,6
email_160,ai_phish,6
email_161,ai_phish,7
email_162,ai_phish,1
email_163,ai_phish,2
email_165,ai_phish,6
email_166,ai_phish,7
email_167,ai_phish,1
email_168,ai_phish,2
email_17,ai_phish,6
email_170,ai_phish,6
email_171,ai_phish,7
email_172,ai_phish,1
email_173,ai_phish,2
email_175,ai_phish,6
email_176,ai_phish,7
email_177,ai_phish,1
email_178,ai_phish,2
email_179,ai_phish,6
email_18,ai_phish,6
email_180,ai_phish,6
email_181,ai_phish,7
email_182,ai_phish,1
email_183,ai_phish,2
email_185,ai_phish,6
email_186,ai_phish,7
email_187,ai_phish,1
email_188,ai_phish,2
email_19,ai_phish,6
email_190,ai_phish,6
email_191,ai_phish,1
email_192,ai_phish,1
email_193,ai_phish,2
email_195,ai_phish,6
email_196,ai_phish,1
email_197,ai_phish,1
email_198,ai_phish,2
email_2,ai_phish,6
email_20,ai_phish,7
email_200,ai_phish,6
email_201,ai_phish,1
email_202,ai_phish,1
email_203,ai_phish,2
email_205,ai_phish,6
email_206,ai_phish,1
email_207,ai_phish,1
email_208,ai_phish,2
email_21,ai_phish,6
email_210,ai_phish,6
email_211,ai_phish,1
email_212,ai_phish,1
email_213,ai_phish,2
email_215,ai_phish,6
email_216,ai_phish,1
email_217,ai_phish,1
email_218,ai_phish,2
email_22,ai_phish,6
email_220,ai_phish,6
email_221,ai_phish,1
email_222,ai_phish,1
email_223,ai_phish,2
email_225,ai_phish,6
email_226,ai_phish,1
email_227,ai_phish,1
email_228,ai_phish,2
email_23,ai_phish,6
email_230,ai_phish,6
email_231,ai_phish,1
email_232,ai_phish,1
email_233,ai_phish,2
email_235,ai_phish,6
email_236,ai_phish,1
email_237,ai_phish,1
email_238,ai_phish,2
email_24,ai_phish,6
email_240,ai_phish,6
email_241,ai_phish,1
email_242,ai_phish,1
email_243,ai_phish,2
email_245,ai_phish,6
email_246,ai_phish,1
email_247,ai_phish,1
email_248,ai_phish,2
email_25,ai_phish,6
email_250,ai_phish,6
email_251,ai_phish,1
email_252,ai_phish,1
email_253,ai_phish,2
email_255,ai_phish,6
email_256,ai_phish,1
email_257,ai_phish,1
email_258,ai_phish,2
email_26,ai_phish,6
email_260,ai_phish,6
email_261,ai_phish,1
email_262,ai_phish,1
email_263,ai_phish,2
email_265,ai_phish,6
email_266,ai_phish,1
email_267,ai_phish,1
email_268,ai_phish,2
email_27,ai_phish,6
email_270,ai_phish,6
email_271,ai_phish,1
email_272,ai_phish,1
email_273,ai_phish,2
email_275,ai_phish,6
email_276,ai_phish,1
email_277,ai_phish,1
email_278,ai_phish,2
email_28,ai_phish,6
email_280,ai_phish,6
email_281,ai_phish,1
email_282,ai_phish,1
email_283,ai_phish,2
email_285,ai_phish,6
email_286,ai_phish,1
email_287,ai_phish,1
email_288,ai_phish,2
email_29,ai_phish,6
email_290,ai_phish,6
email_291,ai_phish,1
email_292,ai_phish,1
email_293,ai_phish,2
email_295,ai_phish,6
email_296,ai_phish,1
email_297,ai_phish,1
email_298,ai_phish,2
email_3,ai_phish,6
email_30,ai_phish,6
email_300,ai_phish,6
email_301,ai_phish,1
email_302,ai_phish,1
email_303,ai_phish,2
email_305,ai_phish,6
email_306,ai_phish,1
email_307,ai_phish,1
email_308,ai_phish,2
email_31,ai_phish,7
email_310,ai_phish,6
email_311,ai_phish,1
email_312,ai_phish,1
email_313,ai_phish,2
email_315,ai_phish,6
email_316,ai_phish,1
email_317,ai_phish,1
email_318,ai_phish,2
email_32,ai_phish,6
email_320,ai_phish,6
email_321,ai_phish,1
email_322,ai_phish,1
email_323,ai_phish,2
email_325,ai_phish,6
email_326,ai_phish,1
email_327,ai_phish,1
email_328,ai_phish,2
email_33,ai_phish,6
email_330,ai_phish,6
email_331,ai_phish,1
email_332,ai_phish,1
email_333,ai_phish,2
email_335,ai_phish,6
email_336,ai_phish,1
email_337,ai_phish,1
email_338,ai_phish,2
email_34,ai_phish,6
email_340,ai_phish,6
email_341,ai_phish,1
email_342,ai_phish,1
email_343,ai_phish,2
email_345,ai_phish,6
email_346,ai_phish,1
email_347,ai_phish,1
email_348,ai_phish,2
email_35,ai_phish,6
email_350,ai_phish,6
email_351,ai_phish,1
email_352,ai_phish,1
email_353,ai_phish,2
email_355,ai_phish,6
email_356,ai_phish,1
email_357,ai_phish,1
email_358,ai_phish,2
email_36,ai_phish,6
email_360,ai_phish,6
email_361,ai_phish,1
email_362,ai_phish,1
email_363,ai_phish,2
email_365,ai_phish,6
email_366,ai_phish,1
email_367,ai_phish,1
email_368,ai_phish,2
email_37,ai_phish,6
email_370,ai_phish,6
email_371,ai_phish,1
email_372,ai_phish,1
email_373,ai_phish,2
email_375,ai_phish,6
email_376,ai_phish,1
email_377,ai_phish,1
email_378,ai_phish,2
email_38,ai_phish,6
email_380,ai_phish,6
email_381,ai_phish,1
email_382,ai_phish,1
email_383,ai_phish,2
email_385,ai_phish,6
email_386,ai_phish,1
email_387,ai_phish,1
email_388,ai_phish,2
email_39,ai_phish,7
email_390,ai_phish,6
email_391,ai_phish,1
email_392,ai_phish,1
email_393,ai_phish,2
email_395,ai_phish,6
email_396,ai_phish,1
email_397,ai_phish,1
email_398,ai_phish,2
email_4,ai_phish,6
email_40,ai_phish,6
email_400,ai_phish,6
email_401,ai_phish,1
email_402,ai_phish,6
email_403,ai_phish,2
email_405,ai_phish,6
email_406,ai_phish,1
email_407,ai_phish,1
email_408,ai_phish,2
email_41,ai_phish,6
email_410,ai_phish,6
email_411,ai_phish,1
email_412,ai_phish,6
email_413,ai_phish,2
email_415,ai_phish,6
email_416,ai_phish,1
email_417,ai_phish,1
email_418,ai_phish,2
email_42,ai_phish,6
email_420,ai_phish,6
email_421,ai_phish,1
email_422,ai_phish,1
email_423,ai_phish,2
email_425,ai_phish,6
email_426,ai_phish,1
email_427,ai_phish,1
email_428,ai_phish,2
email_43,ai_phish,7
email_430,ai_phish,6
email_431,ai_phish,1
email_432,ai_phish,1
email_433,ai_phish,2
email_435,ai_phish,6
email_436,ai_phish,1
email_437,ai_phish,1
email_438,ai_phish,2
email_44,ai_phish,6
email_440,ai_phish,2
email_441,ai_phish,5
email_443,ai_phish,2
email_444,ai_phish,3
email_445,ai_phish,6
email_446,ai_phish,1
email_447,ai_phish,2
email_448,ai_phish,3
email_449,ai_phish,6
email_45,ai_phish,6
email_450,ai_phish,2
email_451,ai_phish,6
email_452,ai_phish,2
email_453,ai_phish,1
email_454,ai_phish,1
email_456,ai_phish,2
email_457,ai_phish,4
email_458,ai_phish,7
email_459,ai_phish,3
email_46,ai_phish,6
email_460,ai_phish,2
email_461,ai_phish,2
email_462,ai_phish,6
email_463,ai_phish,4
email_464,ai_phish,2
email_465,ai_phish,0
email_466,ai_phish,4
email_467,ai_phish,4
email_468,ai_phish,0
email_469,ai_phish,0
email_47,ai_phish,6
email_470,ai_phish,3
email_471,ai_phish,0
email_472,ai_phish,3
email_473,ai_phish,0
email_474,ai_phish,4
email_475,ai_phish,2
email_476,ai_phish,0
